sample,model,condition,words,meanings,response,accuracy,memory_size
6,might,2,g,G,G,1,9.5
6,might,2,h,H,H,1,9.5
6,might,2,i,I,I,1,9.5
6,might,2,j,J,J,1,9.5
6,might,2,k,K,K,1,9.5
6,might,2,l,L,L,1,9.5
6,might,2,m,M,M,1,9.5
6,might,2,n,N,N,1,9.5
6,might,2,o,O,O,1,9.5
6,might,2,p,P,P,1,9.5
6,might,2,q,Q,Q,1,9.5
6,might,2,r,R,R,1,9.5
7,might,2,a,A,A,1,9.5
7,might,2,b,B,B,1,9.5
7,might,2,c,C,C,1,9.5
7,might,2,d,D,Q,0,9.5
7,might,2,e,E,E,1,9.5
7,might,2,f,F,F,1,9.5
7,might,2,g,G,G,1,9.5
7,might,2,h,H,A,0,9.5
7,might,2,i,I,I,1,9.5
7,might,2,j,J,J,1,9.5
7,might,2,k,K,K,1,9.5
7,might,2,l,L,L,1,9.5
7,might,2,m,M,M,1,9.5
7,might,2,n,N,N,1,9.5
7,might,2,o,O,O,1,9.5
7,might,2,p,P,P,1,9.5
7,might,2,q,Q,B,0,9.5
7,might,2,r,R,E,0,9.5
8,might,2,a,A,A,1,9.5
8,might,2,b,B,N,0,9.5
8,might,2,c,C,C,1,9.5
8,might,2,d,D,D,1,9.5
8,might,2,e,E,E,1,9.5
8,might,2,f,F,F,1,9.5
8,might,2,g,G,G,1,9.5
8,might,2,h,H,H,1,9.5
8,might,2,i,I,P,0,9.5
8,might,2,j,J,J,1,9.5
8,might,2,k,K,K,1,9.5
8,might,2,l,L,O,0,9.5
8,might,2,m,M,Q,0,9.5
8,might,2,n,N,N,1,9.5
8,might,2,o,O,O,1,9.5
8,might,2,p,P,P,1,9.5
8,might,2,q,Q,Q,1,9.5
8,might,2,r,R,R,1,9.5
9,might,2,a,A,A,1,9.5
9,might,2,b,B,B,1,9.5
9,might,2,c,C,C,1,9.5
9,might,2,d,D,D,1,9.5
9,might,2,e,E,E,1,9.5
9,might,2,f,F,F,1,9.5
9,might,2,g,G,G,1,9.5
9,might,2,h,H,H,1,9.5
9,might,2,i,I,I,1,9.5
9,might,2,j,J,J,1,9.5
9,might,2,k,K,K,1,9.5
9,might,2,l,L,L,1,9.5
9,might,2,m,M,M,1,9.5
9,might,2,n,N,N,1,9.5
9,might,2,o,O,O,1,9.5
9,might,2,p,P,P,1,9.5
9,might,2,q,Q,Q,1,9.5
9,might,2,r,R,R,1,9.5
10,might,2,a,A,A,1,9.5
10,might,2,b,B,B,1,9.5
10,might,2,c,C,C,1,9.5
10,might,2,d,D,D,1,9.5
10,might,2,e,E,E,1,9.5
10,might,2,f,F,F,1,9.5
10,might,2,g,G,G,1,9.5
10,might,2,h,H,H,1,9.5
10,might,2,i,I,I,1,9.5
10,might,2,j,J,J,1,9.5
10,might,2,k,K,K,1,9.5
10,might,2,l,L,L,1,9.5
10,might,2,m,M,M,1,9.5
10,might,2,n,N,N,1,9.5
10,might,2,o,O,O,1,9.5
10,might,2,p,P,P,1,9.5
10,might,2,q,Q,Q,1,9.5
10,might,2,r,R,R,1,9.5
11,might,2,a,A,A,1,9.5
11,might,2,b,B,B,1,9.5
11,might,2,c,C,C,1,9.5
11,might,2,d,D,D,1,9.5
11,might,2,e,E,E,1,9.5
11,might,2,f,F,F,1,9.5
11,might,2,g,G,G,1,9.5
11,might,2,h,H,H,1,9.5
11,might,2,i,I,I,1,9.5
11,might,2,j,J,J,1,9.5
11,might,2,k,K,K,1,9.5
11,might,2,l,L,L,1,9.5
11,might,2,m,M,M,1,9.5
11,might,2,n,N,N,1,9.5
11,might,2,o,O,O,1,9.5
11,might,2,p,P,P,1,9.5
11,might,2,q,Q,Q,1,9.5
11,might,2,r,R,R,1,9.5
12,might,2,a,A,K,0,9.5
12,might,2,b,B,B,1,9.5
12,might,2,c,C,C,1,9.5
12,might,2,d,D,D,1,9.5
12,might,2,e,E,E,1,9.5
12,might,2,f,F,F,1,9.5
12,might,2,g,G,G,1,9.5
12,might,2,h,H,H,1,9.5
12,might,2,i,I,I,1,9.5
12,might,2,j,J,J,1,9.5
12,might,2,k,K,K,1,9.5
12,might,2,l,L,L,1,9.5
12,might,2,m,M,M,1,9.5
12,might,2,n,N,N,1,9.5
12,might,2,o,O,O,1,9.5
12,might,2,p,P,P,1,9.5
12,might,2,q,Q,Q,1,9.5
12,might,2,r,R,R,1,9.5
13,might,2,a,A,A,1,9.5
13,might,2,b,B,B,1,9.5
13,might,2,c,C,C,1,9.5
13,might,2,d,D,D,1,9.5
13,might,2,e,E,E,1,9.5
13,might,2,f,F,F,1,9.5
13,might,2,g,G,G,1,9.5
13,might,2,h,H,H,1,9.5
13,might,2,i,I,I,1,9.5
13,might,2,j,J,J,1,9.5
13,might,2,k,K,K,1,9.5
13,might,2,l,L,L,1,9.5
13,might,2,m,M,M,1,9.5
13,might,2,n,N,N,1,9.5
13,might,2,o,O,O,1,9.5
13,might,2,p,P,P,1,9.5
13,might,2,q,Q,Q,1,9.5
13,might,2,r,R,R,1,9.5
14,might,2,a,A,L,0,9.5
14,might,2,b,B,B,1,9.5
14,might,2,c,C,C,1,9.5
14,might,2,d,D,D,1,9.5
14,might,2,e,E,E,1,9.5
14,might,2,f,F,F,1,9.5
14,might,2,g,G,G,1,9.5
14,might,2,h,H,H,1,9.5
14,might,2,i,I,I,1,9.5
14,might,2,j,J,M,0,9.5
14,might,2,k,K,K,1,9.5
14,might,2,l,L,F,0,9.5
14,might,2,m,M,M,1,9.5
14,might,2,n,N,N,1,9.5
14,might,2,o,O,O,1,9.5
14,might,2,p,P,P,1,9.5
14,might,2,q,Q,D,0,9.5
14,might,2,r,R,R,1,9.5
15,might,2,a,A,A,1,9.5
15,might,2,b,B,B,1,9.5
15,might,2,c,C,C,1,9.5
15,might,2,d,D,D,1,9.5
15,might,2,e,E,E,1,9.5
15,might,2,f,F,F,1,9.5
15,might,2,g,G,C,0,9.5
15,might,2,h,H,H,1,9.5
15,might,2,i,I,I,1,9.5
15,might,2,j,J,J,1,9.5
15,might,2,k,K,K,1,9.5
15,might,2,l,L,L,1,9.5
15,might,2,m,M,M,1,9.5
15,might,2,n,N,N,1,9.5
15,might,2,o,O,O,1,9.5
15,might,2,p,P,P,1,9.5
15,might,2,q,Q,Q,1,9.5
15,might,2,r,R,R,1,9.5
16,might,2,a,A,L,0,9.5
16,might,2,b,B,B,1,9.5
16,might,2,c,C,C,1,9.5
16,might,2,d,D,D,1,9.5
16,might,2,e,E,E,1,9.5
16,might,2,f,F,F,1,9.5
16,might,2,g,G,I,0,9.5
16,might,2,h,H,H,1,9.5
16,might,2,i,I,I,1,9.5
16,might,2,j,J,A,0,9.5
16,might,2,k,K,K,1,9.5
16,might,2,l,L,M,0,9.5
16,might,2,m,M,M,1,9.5
16,might,2,n,N,N,1,9.5
16,might,2,o,O,O,1,9.5
16,might,2,p,P,P,1,9.5
16,might,2,q,Q,Q,1,9.5
16,might,2,r,R,R,1,9.5
17,might,2,a,A,A,1,9.5
17,might,2,b,B,B,1,9.5
17,might,2,c,C,C,1,9.5
17,might,2,d,D,D,1,9.5
17,might,2,e,E,E,1,9.5
17,might,2,f,F,F,1,9.5
17,might,2,g,G,G,1,9.5
17,might,2,h,H,H,1,9.5
17,might,2,i,I,I,1,9.5
17,might,2,j,J,J,1,9.5
17,might,2,k,K,K,1,9.5
17,might,2,l,L,L,1,9.5
17,might,2,m,M,M,1,9.5
17,might,2,n,N,N,1,9.5
17,might,2,o,O,O,1,9.5
17,might,2,p,P,P,1,9.5
17,might,2,q,Q,Q,1,9.5
17,might,2,r,R,R,1,9.5
18,might,2,a,A,A,1,9.5
18,might,2,b,B,B,1,9.5
18,might,2,c,C,C,1,9.5
18,might,2,d,D,D,1,9.5
18,might,2,e,E,E,1,9.5
18,might,2,f,F,F,1,9.5
18,might,2,g,G,G,1,9.5
18,might,2,h,H,H,1,9.5
18,might,2,i,I,I,1,9.5
18,might,2,j,J,J,1,9.5
18,might,2,k,K,K,1,9.5
18,might,2,l,L,L,1,9.5
18,might,2,m,M,M,1,9.5
18,might,2,n,N,N,1,9.5
18,might,2,o,O,O,1,9.5
18,might,2,p,P,P,1,9.5
18,might,2,q,Q,Q,1,9.5
18,might,2,r,R,R,1,9.5
19,might,2,a,A,A,1,9.5
19,might,2,b,B,B,1,9.5
19,might,2,c,C,C,1,9.5
19,might,2,d,D,D,1,9.5
19,might,2,e,E,E,1,9.5
19,might,2,f,F,F,1,9.5
19,might,2,g,G,A,0,9.5
19,might,2,h,H,H,1,9.5
19,might,2,i,I,I,1,9.5
19,might,2,j,J,J,1,9.5
19,might,2,k,K,K,1,9.5
19,might,2,l,L,L,1,9.5
19,might,2,m,M,M,1,9.5
19,might,2,n,N,N,1,9.5
19,might,2,o,O,O,1,9.5
19,might,2,p,P,P,1,9.5
19,might,2,q,Q,Q,1,9.5
19,might,2,r,R,R,1,9.5
20,might,2,a,A,A,1,9.5
20,might,2,b,B,B,1,9.5
20,might,2,c,C,C,1,9.5
20,might,2,d,D,D,1,9.5
20,might,2,e,E,E,1,9.5
20,might,2,f,F,F,1,9.5
20,might,2,g,G,I,0,9.5
20,might,2,h,H,H,1,9.5
20,might,2,i,I,I,1,9.5
20,might,2,j,J,G,0,9.5
20,might,2,k,K,K,1,9.5
20,might,2,l,L,L,1,9.5
20,might,2,m,M,M,1,9.5
20,might,2,n,N,N,1,9.5
20,might,2,o,O,O,1,9.5
20,might,2,p,P,P,1,9.5
20,might,2,q,Q,Q,1,9.5
20,might,2,r,R,R,1,9.5
21,might,2,a,A,A,1,9.5
21,might,2,b,B,B,1,9.5
21,might,2,c,C,C,1,9.5
21,might,2,d,D,D,1,9.5
21,might,2,e,E,E,1,9.5
21,might,2,f,F,F,1,9.5
21,might,2,g,G,O,0,9.5
21,might,2,h,H,H,1,9.5
21,might,2,i,I,I,1,9.5
21,might,2,j,J,J,1,9.5
21,might,2,k,K,K,1,9.5
21,might,2,l,L,L,1,9.5
21,might,2,m,M,M,1,9.5
21,might,2,n,N,N,1,9.5
21,might,2,o,O,O,1,9.5
21,might,2,p,P,P,1,9.5
21,might,2,q,Q,Q,1,9.5
21,might,2,r,R,R,1,9.5
22,might,2,a,A,A,1,9.5
22,might,2,b,B,B,1,9.5
22,might,2,c,C,C,1,9.5
22,might,2,d,D,D,1,9.5
22,might,2,e,E,E,1,9.5
22,might,2,f,F,F,1,9.5
22,might,2,g,G,G,1,9.5
22,might,2,h,H,H,1,9.5
22,might,2,i,I,I,1,9.5
22,might,2,j,J,J,1,9.5
22,might,2,k,K,K,1,9.5
22,might,2,l,L,L,1,9.5
22,might,2,m,M,M,1,9.5
22,might,2,n,N,N,1,9.5
22,might,2,o,O,O,1,9.5
22,might,2,p,P,P,1,9.5
22,might,2,q,Q,Q,1,9.5
22,might,2,r,R,R,1,9.5
23,might,2,a,A,A,1,9.5
23,might,2,b,B,B,1,9.5
23,might,2,c,C,C,1,9.5
23,might,2,d,D,D,1,9.5
23,might,2,e,E,E,1,9.5
23,might,2,f,F,F,1,9.5
23,might,2,g,G,G,1,9.5
23,might,2,h,H,H,1,9.5
23,might,2,i,I,I,1,9.5
23,might,2,j,J,J,1,9.5
23,might,2,k,K,K,1,9.5
23,might,2,l,L,L,1,9.5
23,might,2,m,M,M,1,9.5
23,might,2,n,N,N,1,9.5
23,might,2,o,O,O,1,9.5
23,might,2,p,P,P,1,9.5
23,might,2,q,Q,Q,1,9.5
23,might,2,r,R,R,1,9.5
24,might,2,a,A,A,1,9.5
24,might,2,b,B,B,1,9.5
24,might,2,c,C,C,1,9.5
24,might,2,d,D,D,1,9.5
24,might,2,e,E,E,1,9.5
24,might,2,f,F,F,1,9.5
24,might,2,g,G,G,1,9.5
24,might,2,h,H,H,1,9.5
24,might,2,i,I,I,1,9.5
24,might,2,j,J,J,1,9.5
24,might,2,k,K,K,1,9.5
24,might,2,l,L,L,1,9.5
24,might,2,m,M,M,1,9.5
24,might,2,n,N,N,1,9.5
24,might,2,o,O,O,1,9.5
24,might,2,p,P,P,1,9.5
24,might,2,q,Q,Q,1,9.5
24,might,2,r,R,R,1,9.5
25,might,2,a,A,A,1,9.5
25,might,2,b,B,B,1,9.5
25,might,2,c,C,C,1,9.5
25,might,2,d,D,D,1,9.5
25,might,2,e,E,E,1,9.5
25,might,2,f,F,F,1,9.5
25,might,2,g,G,G,1,9.5
25,might,2,h,H,H,1,9.5
25,might,2,i,I,I,1,9.5
25,might,2,j,J,J,1,9.5
25,might,2,k,K,K,1,9.5
25,might,2,l,L,L,1,9.5
25,might,2,m,M,M,1,9.5
25,might,2,n,N,N,1,9.5
25,might,2,o,O,O,1,9.5
25,might,2,p,P,P,1,9.5
25,might,2,q,Q,Q,1,9.5
25,might,2,r,R,R,1,9.5
26,might,2,a,A,A,1,9.5
26,might,2,b,B,R,0,9.5
26,might,2,c,C,M,0,9.5
26,might,2,d,D,D,1,9.5
26,might,2,e,E,E,1,9.5
26,might,2,f,F,F,1,9.5
26,might,2,g,G,G,1,9.5
26,might,2,h,H,H,1,9.5
26,might,2,i,I,I,1,9.5
26,might,2,j,J,J,1,9.5
26,might,2,k,K,K,1,9.5
26,might,2,l,L,L,1,9.5
26,might,2,m,M,N,0,9.5
26,might,2,n,N,B,0,9.5
26,might,2,o,O,O,1,9.5
26,might,2,p,P,P,1,9.5
26,might,2,q,Q,J,0,9.5
26,might,2,r,R,R,1,9.5
27,might,2,a,A,D,0,9.5
27,might,2,b,B,B,1,9.5
27,might,2,c,C,C,1,9.5
27,might,2,d,D,D,1,9.5
27,might,2,e,E,E,1,9.5
27,might,2,f,F,F,1,9.5
27,might,2,g,G,P,0,9.5
27,might,2,h,H,H,1,9.5
27,might,2,i,I,I,1,9.5
27,might,2,j,J,J,1,9.5
27,might,2,k,K,K,1,9.5
27,might,2,l,L,E,0,9.5
27,might,2,m,M,M,1,9.5
27,might,2,n,N,R,0,9.5
27,might,2,o,O,O,1,9.5
27,might,2,p,P,P,1,9.5
27,might,2,q,Q,Q,1,9.5
27,might,2,r,R,R,1,9.5
28,might,2,a,A,A,1,9.5
28,might,2,b,B,B,1,9.5
28,might,2,c,C,C,1,9.5
28,might,2,d,D,D,1,9.5
28,might,2,e,E,E,1,9.5
28,might,2,f,F,F,1,9.5
28,might,2,g,G,G,1,9.5
28,might,2,h,H,H,1,9.5
28,might,2,i,I,I,1,9.5
28,might,2,j,J,J,1,9.5
28,might,2,k,K,K,1,9.5
28,might,2,l,L,O,0,9.5
28,might,2,m,M,M,1,9.5
28,might,2,n,N,P,0,9.5
28,might,2,o,O,O,1,9.5
28,might,2,p,P,P,1,9.5
28,might,2,q,Q,Q,1,9.5
28,might,2,r,R,R,1,9.5
29,might,2,a,A,A,1,9.5
29,might,2,b,B,B,1,9.5
29,might,2,c,C,C,1,9.5
29,might,2,d,D,D,1,9.5
29,might,2,e,E,E,1,9.5
29,might,2,f,F,F,1,9.5
29,might,2,g,G,G,1,9.5
29,might,2,h,H,H,1,9.5
29,might,2,i,I,I,1,9.5
29,might,2,j,J,J,1,9.5
29,might,2,k,K,K,1,9.5
29,might,2,l,L,L,1,9.5
29,might,2,m,M,M,1,9.5
29,might,2,n,N,N,1,9.5
29,might,2,o,O,R,0,9.5
29,might,2,p,P,P,1,9.5
29,might,2,q,Q,Q,1,9.5
29,might,2,r,R,R,1,9.5
30,might,2,a,A,A,1,9.5
30,might,2,b,B,I,0,9.5
30,might,2,c,C,C,1,9.5
30,might,2,d,D,D,1,9.5
30,might,2,e,E,E,1,9.5
30,might,2,f,F,F,1,9.5
30,might,2,g,G,G,1,9.5
30,might,2,h,H,H,1,9.5
30,might,2,i,I,I,1,9.5
30,might,2,j,J,J,1,9.5
30,might,2,k,K,K,1,9.5
30,might,2,l,L,N,0,9.5
30,might,2,m,M,M,1,9.5
30,might,2,n,N,N,1,9.5
30,might,2,o,O,O,1,9.5
30,might,2,p,P,P,1,9.5
30,might,2,q,Q,Q,1,9.5
30,might,2,r,R,R,1,9.5
31,might,2,a,A,A,1,9.5
31,might,2,b,B,B,1,9.5
31,might,2,c,C,C,1,9.5
31,might,2,d,D,D,1,9.5
31,might,2,e,E,O,0,9.5
31,might,2,f,F,F,1,9.5
31,might,2,g,G,P,0,9.5
31,might,2,h,H,H,1,9.5
31,might,2,i,I,I,1,9.5
31,might,2,j,J,J,1,9.5
31,might,2,k,K,K,1,9.5
31,might,2,l,L,L,1,9.5
31,might,2,m,M,M,1,9.5
31,might,2,n,N,N,1,9.5
31,might,2,o,O,I,0,9.5
31,might,2,p,P,P,1,9.5
31,might,2,q,Q,Q,1,9.5
31,might,2,r,R,R,1,9.5
32,might,2,a,A,A,1,9.5
32,might,2,b,B,B,1,9.5
32,might,2,c,C,C,1,9.5
32,might,2,d,D,D,1,9.5
32,might,2,e,E,E,1,9.5
32,might,2,f,F,F,1,9.5
32,might,2,g,G,G,1,9.5
32,might,2,h,H,H,1,9.5
32,might,2,i,I,I,1,9.5
32,might,2,j,J,J,1,9.5
32,might,2,k,K,K,1,9.5
32,might,2,l,L,L,1,9.5
32,might,2,m,M,M,1,9.5
32,might,2,n,N,N,1,9.5
32,might,2,o,O,O,1,9.5
32,might,2,p,P,P,1,9.5
32,might,2,q,Q,Q,1,9.5
32,might,2,r,R,R,1,9.5
33,might,2,a,A,A,1,9.5
33,might,2,b,B,B,1,9.5
33,might,2,c,C,C,1,9.5
33,might,2,d,D,D,1,9.5
33,might,2,e,E,E,1,9.5
33,might,2,f,F,F,1,9.5
33,might,2,g,G,G,1,9.5
33,might,2,h,H,H,1,9.5
33,might,2,i,I,I,1,9.5
33,might,2,j,J,J,1,9.5
33,might,2,k,K,K,1,9.5
33,might,2,l,L,L,1,9.5
33,might,2,m,M,M,1,9.5
33,might,2,n,N,N,1,9.5
33,might,2,o,O,O,1,9.5
33,might,2,p,P,P,1,9.5
33,might,2,q,Q,Q,1,9.5
33,might,2,r,R,R,1,9.5
34,might,2,a,A,A,1,9.5
34,might,2,b,B,B,1,9.5
34,might,2,c,C,C,1,9.5
34,might,2,d,D,D,1,9.5
34,might,2,e,E,E,1,9.5
34,might,2,f,F,F,1,9.5
34,might,2,g,G,G,1,9.5
34,might,2,h,H,H,1,9.5
34,might,2,i,I,I,1,9.5
34,might,2,j,J,J,1,9.5
34,might,2,k,K,K,1,9.5
34,might,2,l,L,L,1,9.5
34,might,2,m,M,M,1,9.5
34,might,2,n,N,N,1,9.5
34,might,2,o,O,O,1,9.5
34,might,2,p,P,P,1,9.5
34,might,2,q,Q,Q,1,9.5
34,might,2,r,R,R,1,9.5
35,might,2,a,A,L,0,9.5
35,might,2,b,B,B,1,9.5
35,might,2,c,C,C,1,9.5
35,might,2,d,D,D,1,9.5
35,might,2,e,E,E,1,9.5
35,might,2,f,F,F,1,9.5
35,might,2,g,G,G,1,9.5
35,might,2,h,H,J,0,9.5
35,might,2,i,I,I,1,9.5
35,might,2,j,J,D,0,9.5
35,might,2,k,K,K,1,9.5
35,might,2,l,L,L,1,9.5
35,might,2,m,M,M,1,9.5
35,might,2,n,N,N,1,9.5
35,might,2,o,O,O,1,9.5
35,might,2,p,P,P,1,9.5
35,might,2,q,Q,Q,1,9.5
35,might,2,r,R,R,1,9.5
36,might,2,a,A,Q,0,9.5
36,might,2,b,B,B,1,9.5
36,might,2,c,C,K,0,9.5
36,might,2,d,D,D,1,9.5
36,might,2,e,E,E,1,9.5
36,might,2,f,F,F,1,9.5
36,might,2,g,G,G,1,9.5
36,might,2,h,H,H,1,9.5
36,might,2,i,I,I,1,9.5
36,might,2,j,J,P,0,9.5
36,might,2,k,K,K,1,9.5
36,might,2,l,L,L,1,9.5
36,might,2,m,M,M,1,9.5
36,might,2,n,N,N,1,9.5
36,might,2,o,O,O,1,9.5
36,might,2,p,P,P,1,9.5
36,might,2,q,Q,Q,1,9.5
36,might,2,r,R,R,1,9.5
37,might,2,a,A,B,0,9.5
37,might,2,b,B,B,1,9.5
37,might,2,c,C,C,1,9.5
37,might,2,d,D,D,1,9.5
37,might,2,e,E,E,1,9.5
37,might,2,f,F,Q,0,9.5
37,might,2,g,G,J,0,9.5
37,might,2,h,H,H,1,9.5
37,might,2,i,I,I,1,9.5
37,might,2,j,J,J,1,9.5
37,might,2,k,K,K,1,9.5
37,might,2,l,L,L,1,9.5
37,might,2,m,M,M,1,9.5
37,might,2,n,N,N,1,9.5
37,might,2,o,O,O,1,9.5
37,might,2,p,P,P,1,9.5
37,might,2,q,Q,J,0,9.5
37,might,2,r,R,R,1,9.5
38,might,2,a,A,A,1,9.5
38,might,2,b,B,B,1,9.5
38,might,2,c,C,C,1,9.5
38,might,2,d,D,D,1,9.5
38,might,2,e,E,E,1,9.5
38,might,2,f,F,F,1,9.5
38,might,2,g,G,G,1,9.5
38,might,2,h,H,H,1,9.5
38,might,2,i,I,I,1,9.5
38,might,2,j,J,J,1,9.5
38,might,2,k,K,K,1,9.5
38,might,2,l,L,L,1,9.5
38,might,2,m,M,M,1,9.5
38,might,2,n,N,N,1,9.5
38,might,2,o,O,O,1,9.5
38,might,2,p,P,P,1,9.5
38,might,2,q,Q,Q,1,9.5
38,might,2,r,R,R,1,9.5
39,might,2,a,A,A,1,9.5
39,might,2,b,B,I,0,9.5
39,might,2,c,C,C,1,9.5
39,might,2,d,D,D,1,9.5
39,might,2,e,E,E,1,9.5
39,might,2,f,F,F,1,9.5
39,might,2,g,G,G,1,9.5
39,might,2,h,H,G,0,9.5
39,might,2,i,I,I,1,9.5
39,might,2,j,J,G,0,9.5
39,might,2,k,K,K,1,9.5
39,might,2,l,L,L,1,9.5
39,might,2,m,M,M,1,9.5
39,might,2,n,N,N,1,9.5
39,might,2,o,O,O,1,9.5
39,might,2,p,P,P,1,9.5
39,might,2,q,Q,Q,1,9.5
39,might,2,r,R,R,1,9.5
40,might,2,a,A,A,1,9.5
40,might,2,b,B,B,1,9.5
40,might,2,c,C,C,1,9.5
40,might,2,d,D,D,1,9.5
40,might,2,e,E,E,1,9.5
40,might,2,f,F,F,1,9.5
40,might,2,g,G,G,1,9.5
40,might,2,h,H,H,1,9.5
40,might,2,i,I,I,1,9.5
40,might,2,j,J,J,1,9.5
40,might,2,k,K,K,1,9.5
40,might,2,l,L,L,1,9.5
40,might,2,m,M,M,1,9.5
40,might,2,n,N,N,1,9.5
40,might,2,o,O,O,1,9.5
40,might,2,p,P,P,1,9.5
40,might,2,q,Q,Q,1,9.5
40,might,2,r,R,R,1,9.5
41,might,2,a,A,A,1,9.5
41,might,2,b,B,B,1,9.5
41,might,2,c,C,C,1,9.5
41,might,2,d,D,D,1,9.5
41,might,2,e,E,E,1,9.5
41,might,2,f,F,F,1,9.5
41,might,2,g,G,L,0,9.5
41,might,2,h,H,H,1,9.5
41,might,2,i,I,I,1,9.5
41,might,2,j,J,J,1,9.5
41,might,2,k,K,K,1,9.5
41,might,2,l,L,L,1,9.5
41,might,2,m,M,M,1,9.5
41,might,2,n,N,N,1,9.5
41,might,2,o,O,O,1,9.5
41,might,2,p,P,P,1,9.5
41,might,2,q,Q,Q,1,9.5
41,might,2,r,R,R,1,9.5
42,might,2,a,A,G,0,9.5
42,might,2,b,B,B,1,9.5
42,might,2,c,C,C,1,9.5
42,might,2,d,D,D,1,9.5
42,might,2,e,E,E,1,9.5
42,might,2,f,F,F,1,9.5
42,might,2,g,G,J,0,9.5
42,might,2,h,H,H,1,9.5
42,might,2,i,I,I,1,9.5
42,might,2,j,J,J,1,9.5
42,might,2,k,K,K,1,9.5
42,might,2,l,L,L,1,9.5
42,might,2,m,M,M,1,9.5
42,might,2,n,N,N,1,9.5
42,might,2,o,O,O,1,9.5
