sample,model,condition,words,meanings,response,accuracy,memory_size
13,trace_0.01,2,o,O,O,1,8.75
13,trace_0.01,2,p,P,P,1,8.75
13,trace_0.01,2,q,Q,Q,1,8.75
13,trace_0.01,2,r,R,R,1,8.75
14,trace_0.01,2,a,A,A,1,8.75
14,trace_0.01,2,b,B,B,1,8.75
14,trace_0.01,2,c,C,C,1,8.75
14,trace_0.01,2,d,D,D,1,8.75
14,trace_0.01,2,e,E,E,1,8.75
14,trace_0.01,2,f,F,F,1,8.75
14,trace_0.01,2,g,G,F,0,8.75
14,trace_0.01,2,h,H,F,0,8.75
14,trace_0.01,2,i,I,I,1,8.75
14,trace_0.01,2,j,J,J,1,8.75
14,trace_0.01,2,k,K,K,1,8.75
14,trace_0.01,2,l,L,L,1,8.75
14,trace_0.01,2,m,M,M,1,8.75
14,trace_0.01,2,n,N,N,1,8.75
14,trace_0.01,2,o,O,O,1,8.75
14,trace_0.01,2,p,P,P,1,8.75
14,trace_0.01,2,q,Q,Q,1,8.75
14,trace_0.01,2,r,R,R,1,8.75
15,trace_0.01,2,a,A,A,1,8.75
15,trace_0.01,2,b,B,B,1,8.75
15,trace_0.01,2,c,C,C,1,8.75
15,trace_0.01,2,d,D,D,1,8.75
15,trace_0.01,2,e,E,E,1,8.75
15,trace_0.01,2,f,F,F,1,8.75
15,trace_0.01,2,g,G,G,1,8.75
15,trace_0.01,2,h,H,H,1,8.75
15,trace_0.01,2,i,I,I,1,8.75
15,trace_0.01,2,j,J,J,1,8.75
15,trace_0.01,2,k,K,K,1,8.75
15,trace_0.01,2,l,L,L,1,8.75
15,trace_0.01,2,m,M,M,1,8.75
15,trace_0.01,2,n,N,N,1,8.75
15,trace_0.01,2,o,O,O,1,8.75
15,trace_0.01,2,p,P,P,1,8.75
15,trace_0.01,2,q,Q,Q,1,8.75
15,trace_0.01,2,r,R,R,1,8.75
16,trace_0.01,2,a,A,A,1,8.75
16,trace_0.01,2,b,B,B,1,8.75
16,trace_0.01,2,c,C,C,1,8.75
16,trace_0.01,2,d,D,A,0,8.75
16,trace_0.01,2,e,E,E,1,8.75
16,trace_0.01,2,f,F,F,1,8.75
16,trace_0.01,2,g,G,G,1,8.75
16,trace_0.01,2,h,H,H,1,8.75
16,trace_0.01,2,i,I,I,1,8.75
16,trace_0.01,2,j,J,B,0,8.75
16,trace_0.01,2,k,K,K,1,8.75
16,trace_0.01,2,l,L,L,1,8.75
16,trace_0.01,2,m,M,M,1,8.75
16,trace_0.01,2,n,N,P,0,8.75
16,trace_0.01,2,o,O,O,1,8.75
16,trace_0.01,2,p,P,P,1,8.75
16,trace_0.01,2,q,Q,Q,1,8.75
16,trace_0.01,2,r,R,G,0,8.75
17,trace_0.01,2,a,A,A,1,8.75
17,trace_0.01,2,b,B,B,1,8.75
17,trace_0.01,2,c,C,C,1,8.75
17,trace_0.01,2,d,D,D,1,8.75
17,trace_0.01,2,e,E,E,1,8.75
17,trace_0.01,2,f,F,F,1,8.75
17,trace_0.01,2,g,G,O,0,8.75
17,trace_0.01,2,h,H,H,1,8.75
17,trace_0.01,2,i,I,I,1,8.75
17,trace_0.01,2,j,J,J,1,8.75
17,trace_0.01,2,k,K,K,1,8.75
17,trace_0.01,2,l,L,L,1,8.75
17,trace_0.01,2,m,M,M,1,8.75
17,trace_0.01,2,n,N,N,1,8.75
17,trace_0.01,2,o,O,O,1,8.75
17,trace_0.01,2,p,P,P,1,8.75
17,trace_0.01,2,q,Q,Q,1,8.75
17,trace_0.01,2,r,R,R,1,8.75
18,trace_0.01,2,a,A,A,1,8.75
18,trace_0.01,2,b,B,B,1,8.75
18,trace_0.01,2,c,C,C,1,8.75
18,trace_0.01,2,d,D,D,1,8.75
18,trace_0.01,2,e,E,E,1,8.75
18,trace_0.01,2,f,F,F,1,8.75
18,trace_0.01,2,g,G,G,1,8.75
18,trace_0.01,2,h,H,J,0,8.75
18,trace_0.01,2,i,I,I,1,8.75
18,trace_0.01,2,j,J,C,0,8.75
18,trace_0.01,2,k,K,K,1,8.75
18,trace_0.01,2,l,L,L,1,8.75
18,trace_0.01,2,m,M,M,1,8.75
18,trace_0.01,2,n,N,N,1,8.75
18,trace_0.01,2,o,O,O,1,8.75
18,trace_0.01,2,p,P,P,1,8.75
18,trace_0.01,2,q,Q,Q,1,8.75
18,trace_0.01,2,r,R,R,1,8.75
19,trace_0.01,2,a,A,A,1,8.75
19,trace_0.01,2,b,B,B,1,8.75
19,trace_0.01,2,c,C,C,1,8.75
19,trace_0.01,2,d,D,D,1,8.75
19,trace_0.01,2,e,E,E,1,8.75
19,trace_0.01,2,f,F,L,0,8.75
19,trace_0.01,2,g,G,G,1,8.75
19,trace_0.01,2,h,H,H,1,8.75
19,trace_0.01,2,i,I,I,1,8.75
19,trace_0.01,2,j,J,J,1,8.75
19,trace_0.01,2,k,K,K,1,8.75
19,trace_0.01,2,l,L,Q,0,8.75
19,trace_0.01,2,m,M,O,0,8.75
19,trace_0.01,2,n,N,N,1,8.75
19,trace_0.01,2,o,O,O,1,8.75
19,trace_0.01,2,p,P,P,1,8.75
19,trace_0.01,2,q,Q,Q,1,8.75
19,trace_0.01,2,r,R,R,1,8.75
20,trace_0.01,2,a,A,F,0,8.75
20,trace_0.01,2,b,B,B,1,8.75
20,trace_0.01,2,c,C,C,1,8.75
20,trace_0.01,2,d,D,D,1,8.75
20,trace_0.01,2,e,E,E,1,8.75
20,trace_0.01,2,f,F,F,1,8.75
20,trace_0.01,2,g,G,G,1,8.75
20,trace_0.01,2,h,H,H,1,8.75
20,trace_0.01,2,i,I,I,1,8.75
20,trace_0.01,2,j,J,J,1,8.75
20,trace_0.01,2,k,K,K,1,8.75
20,trace_0.01,2,l,L,L,1,8.75
20,trace_0.01,2,m,M,M,1,8.75
20,trace_0.01,2,n,N,N,1,8.75
20,trace_0.01,2,o,O,O,1,8.75
20,trace_0.01,2,p,P,P,1,8.75
20,trace_0.01,2,q,Q,Q,1,8.75
20,trace_0.01,2,r,R,R,1,8.75
21,trace_0.01,2,a,A,A,1,8.75
21,trace_0.01,2,b,B,B,1,8.75
21,trace_0.01,2,c,C,C,1,8.75
21,trace_0.01,2,d,D,D,1,8.75
21,trace_0.01,2,e,E,E,1,8.75
21,trace_0.01,2,f,F,F,1,8.75
21,trace_0.01,2,g,G,G,1,8.75
21,trace_0.01,2,h,H,H,1,8.75
21,trace_0.01,2,i,I,I,1,8.75
21,trace_0.01,2,j,J,J,1,8.75
21,trace_0.01,2,k,K,K,1,8.75
21,trace_0.01,2,l,L,L,1,8.75
21,trace_0.01,2,m,M,M,1,8.75
21,trace_0.01,2,n,N,N,1,8.75
21,trace_0.01,2,o,O,O,1,8.75
21,trace_0.01,2,p,P,P,1,8.75
21,trace_0.01,2,q,Q,Q,1,8.75
21,trace_0.01,2,r,R,R,1,8.75
22,trace_0.01,2,a,A,A,1,8.75
22,trace_0.01,2,b,B,B,1,8.75
22,trace_0.01,2,c,C,C,1,8.75
22,trace_0.01,2,d,D,D,1,8.75
22,trace_0.01,2,e,E,E,1,8.75
22,trace_0.01,2,f,F,F,1,8.75
22,trace_0.01,2,g,G,G,1,8.75
22,trace_0.01,2,h,H,H,1,8.75
22,trace_0.01,2,i,I,I,1,8.75
22,trace_0.01,2,j,J,M,0,8.75
22,trace_0.01,2,k,K,P,0,8.75
22,trace_0.01,2,l,L,J,0,8.75
22,trace_0.01,2,m,M,M,1,8.75
22,trace_0.01,2,n,N,N,1,8.75
22,trace_0.01,2,o,O,O,1,8.75
22,trace_0.01,2,p,P,P,1,8.75
22,trace_0.01,2,q,Q,Q,1,8.75
22,trace_0.01,2,r,R,R,1,8.75
23,trace_0.01,2,a,A,J,0,8.75
23,trace_0.01,2,b,B,B,1,8.75
23,trace_0.01,2,c,C,C,1,8.75
23,trace_0.01,2,d,D,D,1,8.75
23,trace_0.01,2,e,E,E,1,8.75
23,trace_0.01,2,f,F,F,1,8.75
23,trace_0.01,2,g,G,G,1,8.75
23,trace_0.01,2,h,H,I,0,8.75
23,trace_0.01,2,i,I,I,1,8.75
23,trace_0.01,2,j,J,J,1,8.75
23,trace_0.01,2,k,K,K,1,8.75
23,trace_0.01,2,l,L,L,1,8.75
23,trace_0.01,2,m,M,M,1,8.75
23,trace_0.01,2,n,N,N,1,8.75
23,trace_0.01,2,o,O,O,1,8.75
23,trace_0.01,2,p,P,P,1,8.75
23,trace_0.01,2,q,Q,Q,1,8.75
23,trace_0.01,2,r,R,R,1,8.75
24,trace_0.01,2,a,A,A,1,8.75
24,trace_0.01,2,b,B,B,1,8.75
24,trace_0.01,2,c,C,C,1,8.75
24,trace_0.01,2,d,D,D,1,8.75
24,trace_0.01,2,e,E,E,1,8.75
24,trace_0.01,2,f,F,F,1,8.75
24,trace_0.01,2,g,G,G,1,8.75
24,trace_0.01,2,h,H,H,1,8.75
24,trace_0.01,2,i,I,I,1,8.75
24,trace_0.01,2,j,J,J,1,8.75
24,trace_0.01,2,k,K,K,1,8.75
24,trace_0.01,2,l,L,L,1,8.75
24,trace_0.01,2,m,M,M,1,8.75
24,trace_0.01,2,n,N,N,1,8.75
24,trace_0.01,2,o,O,O,1,8.75
24,trace_0.01,2,p,P,P,1,8.75
24,trace_0.01,2,q,Q,Q,1,8.75
24,trace_0.01,2,r,R,R,1,8.75
25,trace_0.01,2,a,A,A,1,8.75
25,trace_0.01,2,b,B,B,1,8.75
25,trace_0.01,2,c,C,C,1,8.75
25,trace_0.01,2,d,D,D,1,8.75
25,trace_0.01,2,e,E,E,1,8.75
25,trace_0.01,2,f,F,J,0,8.75
25,trace_0.01,2,g,G,G,1,8.75
25,trace_0.01,2,h,H,H,1,8.75
25,trace_0.01,2,i,I,I,1,8.75
25,trace_0.01,2,j,J,J,1,8.75
25,trace_0.01,2,k,K,K,1,8.75
25,trace_0.01,2,l,L,L,1,8.75
25,trace_0.01,2,m,M,M,1,8.75
25,trace_0.01,2,n,N,N,1,8.75
25,trace_0.01,2,o,O,O,1,8.75
25,trace_0.01,2,p,P,P,1,8.75
25,trace_0.01,2,q,Q,H,0,8.75
25,trace_0.01,2,r,R,R,1,8.75
26,trace_0.01,2,a,A,E,0,8.75
26,trace_0.01,2,b,B,F,0,8.75
26,trace_0.01,2,c,C,C,1,8.75
26,trace_0.01,2,d,D,D,1,8.75
26,trace_0.01,2,e,E,E,1,8.75
26,trace_0.01,2,f,F,F,1,8.75
26,trace_0.01,2,g,G,J,0,8.75
26,trace_0.01,2,h,H,H,1,8.75
26,trace_0.01,2,i,I,I,1,8.75
26,trace_0.01,2,j,J,J,1,8.75
26,trace_0.01,2,k,K,K,1,8.75
26,trace_0.01,2,l,L,L,1,8.75
26,trace_0.01,2,m,M,M,1,8.75
26,trace_0.01,2,n,N,N,1,8.75
26,trace_0.01,2,o,O,O,1,8.75
26,trace_0.01,2,p,P,P,1,8.75
26,trace_0.01,2,q,Q,Q,1,8.75
26,trace_0.01,2,r,R,R,1,8.75
27,trace_0.01,2,a,A,N,0,8.75
27,trace_0.01,2,b,B,B,1,8.75
27,trace_0.01,2,c,C,L,0,8.75
27,trace_0.01,2,d,D,D,1,8.75
27,trace_0.01,2,e,E,E,1,8.75
27,trace_0.01,2,f,F,F,1,8.75
27,trace_0.01,2,g,G,G,1,8.75
27,trace_0.01,2,h,H,H,1,8.75
27,trace_0.01,2,i,I,I,1,8.75
27,trace_0.01,2,j,J,J,1,8.75
27,trace_0.01,2,k,K,K,1,8.75
27,trace_0.01,2,l,L,L,1,8.75
27,trace_0.01,2,m,M,M,1,8.75
27,trace_0.01,2,n,N,N,1,8.75
27,trace_0.01,2,o,O,O,1,8.75
27,trace_0.01,2,p,P,P,1,8.75
27,trace_0.01,2,q,Q,Q,1,8.75
27,trace_0.01,2,r,R,R,1,8.75
28,trace_0.01,2,a,A,A,1,8.75
28,trace_0.01,2,b,B,B,1,8.75
28,trace_0.01,2,c,C,F,0,8.75
28,trace_0.01,2,d,D,D,1,8.75
28,trace_0.01,2,e,E,E,1,8.75
28,trace_0.01,2,f,F,F,1,8.75
28,trace_0.01,2,g,G,G,1,8.75
28,trace_0.01,2,h,H,H,1,8.75
28,trace_0.01,2,i,I,I,1,8.75
28,trace_0.01,2,j,J,J,1,8.75
28,trace_0.01,2,k,K,K,1,8.75
28,trace_0.01,2,l,L,L,1,8.75
28,trace_0.01,2,m,M,M,1,8.75
28,trace_0.01,2,n,N,N,1,8.75
28,trace_0.01,2,o,O,O,1,8.75
28,trace_0.01,2,p,P,P,1,8.75
28,trace_0.01,2,q,Q,Q,1,8.75
28,trace_0.01,2,r,R,R,1,8.75
29,trace_0.01,2,a,A,J,0,8.75
29,trace_0.01,2,b,B,B,1,8.75
29,trace_0.01,2,c,C,Q,0,8.75
29,trace_0.01,2,d,D,D,1,8.75
29,trace_0.01,2,e,E,E,1,8.75
29,trace_0.01,2,f,F,F,1,8.75
29,trace_0.01,2,g,G,K,0,8.75
29,trace_0.01,2,h,H,B,0,8.75
29,trace_0.01,2,i,I,H,0,8.75
29,trace_0.01,2,j,J,J,1,8.75
29,trace_0.01,2,k,K,K,1,8.75
29,trace_0.01,2,l,L,L,1,8.75
29,trace_0.01,2,m,M,M,1,8.75
29,trace_0.01,2,n,N,N,1,8.75
29,trace_0.01,2,o,O,O,1,8.75
29,trace_0.01,2,p,P,P,1,8.75
29,trace_0.01,2,q,Q,J,0,8.75
29,trace_0.01,2,r,R,R,1,8.75
30,trace_0.01,2,a,A,A,1,8.75
30,trace_0.01,2,b,B,B,1,8.75
30,trace_0.01,2,c,C,C,1,8.75
30,trace_0.01,2,d,D,D,1,8.75
30,trace_0.01,2,e,E,E,1,8.75
30,trace_0.01,2,f,F,F,1,8.75
30,trace_0.01,2,g,G,P,0,8.75
30,trace_0.01,2,h,H,H,1,8.75
30,trace_0.01,2,i,I,I,1,8.75
30,trace_0.01,2,j,J,J,1,8.75
30,trace_0.01,2,k,K,K,1,8.75
30,trace_0.01,2,l,L,L,1,8.75
30,trace_0.01,2,m,M,M,1,8.75
30,trace_0.01,2,n,N,N,1,8.75
30,trace_0.01,2,o,O,O,1,8.75
30,trace_0.01,2,p,P,P,1,8.75
30,trace_0.01,2,q,Q,Q,1,8.75
30,trace_0.01,2,r,R,R,1,8.75
31,trace_0.01,2,a,A,E,0,8.75
31,trace_0.01,2,b,B,B,1,8.75
31,trace_0.01,2,c,C,C,1,8.75
31,trace_0.01,2,d,D,D,1,8.75
31,trace_0.01,2,e,E,E,1,8.75
31,trace_0.01,2,f,F,F,1,8.75
31,trace_0.01,2,g,G,G,1,8.75
31,trace_0.01,2,h,H,H,1,8.75
31,trace_0.01,2,i,I,I,1,8.75
31,trace_0.01,2,j,J,J,1,8.75
31,trace_0.01,2,k,K,K,1,8.75
31,trace_0.01,2,l,L,L,1,8.75
31,trace_0.01,2,m,M,O,0,8.75
31,trace_0.01,2,n,N,N,1,8.75
31,trace_0.01,2,o,O,O,1,8.75
31,trace_0.01,2,p,P,P,1,8.75
31,trace_0.01,2,q,Q,Q,1,8.75
31,trace_0.01,2,r,R,R,1,8.75
32,trace_0.01,2,a,A,E,0,8.75
32,trace_0.01,2,b,B,B,1,8.75
32,trace_0.01,2,c,C,B,0,8.75
32,trace_0.01,2,d,D,D,1,8.75
32,trace_0.01,2,e,E,E,1,8.75
32,trace_0.01,2,f,F,F,1,8.75
32,trace_0.01,2,g,G,G,1,8.75
32,trace_0.01,2,h,H,H,1,8.75
32,trace_0.01,2,i,I,P,0,8.75
32,trace_0.01,2,j,J,J,1,8.75
32,trace_0.01,2,k,K,P,0,8.75
32,trace_0.01,2,l,L,P,0,8.75
32,trace_0.01,2,m,M,Q,0,8.75
32,trace_0.01,2,n,N,N,1,8.75
32,trace_0.01,2,o,O,O,1,8.75
32,trace_0.01,2,p,P,P,1,8.75
32,trace_0.01,2,q,Q,Q,1,8.75
32,trace_0.01,2,r,R,R,1,8.75
33,trace_0.01,2,a,A,A,1,8.75
33,trace_0.01,2,b,B,B,1,8.75
33,trace_0.01,2,c,C,C,1,8.75
33,trace_0.01,2,d,D,D,1,8.75
33,trace_0.01,2,e,E,E,1,8.75
33,trace_0.01,2,f,F,F,1,8.75
33,trace_0.01,2,g,G,G,1,8.75
33,trace_0.01,2,h,H,N,0,8.75
33,trace_0.01,2,i,I,I,1,8.75
33,trace_0.01,2,j,J,J,1,8.75
